group_id,group_label,cancer_site_code,mapping_relation,basis,source_url,note
tobacco_associated,Tobacco-associated cancer,29010,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,
tobacco_associated,Tobacco-associated cancer,35021,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,"CDC names 'Blood (acute myeloid leukemia)' specifically -- the single AML leaf, not the whole Leukemia rollup (which also covers lymphocytic and other myeloid leukemias CDC does not name here)."
tobacco_associated,Tobacco-associated cancer,27010,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,
tobacco_associated,Tobacco-associated cancer,21041,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
tobacco_associated,Tobacco-associated cancer,21042,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
tobacco_associated,Tobacco-associated cancer,21043,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
tobacco_associated,Tobacco-associated cancer,21044,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
tobacco_associated,Tobacco-associated cancer,21045,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
tobacco_associated,Tobacco-associated cancer,21046,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
tobacco_associated,Tobacco-associated cancer,21047,exact,"CDC, ""Tobacco and Cancer"" (cdc.gov/cancer/risk-factors/tobacco.html, updated 2025-06-11, checked 2026-09-19): ""Tobacco use can cause cancer almost anywhere in your body, including in the: Bladder, Blood (acute myeloid leukemia), Cervix, Colon and rectum, Esophagus, Kidney and renal pelvis, Liver, Lungs, bronchi, and trachea, Mouth and throat, Pancreas, Stomach, Voice box (larynx).""",https://www.cdc.gov/cancer/risk-factors/tobacco.html,SCP combined category; SEER site recode 21041-21049+21051-21052 (excludes anus 21060) -- same constituent split as #90's cancer_site_ontology.csv.
